project,releaseId,methodPath,loc,cyclomaticComplexity,cognitiveComplexity,statements,nestingDepth,parameterCount,codeSmells,bugginess
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/waitFor,7,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/writeComplete,9,0,0,0,1,5,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/getValidLedgerId,19,0,0,0,2,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/main,75,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/writeComplete,7,0,0,0,1,5,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/resetComplete,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java/waitForComplete,5,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/compare,15,0,0,0,2,2,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/process,5,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/process,48,0,0,0,4,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/readLedger,68,0,0,0,5,3,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/usage,4,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/main,120,0,0,0,3,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java/run,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/process,5,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/process,5,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/process,5,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/Context,4,0,0,0,0,2,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/run,4,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/run,11,0,0,0,2,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/close,6,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/addComplete,11,0,0,0,1,4,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/setEntryData,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/getDuration,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/run,70,0,0,0,3,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/percentile,11,0,0,0,1,2,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/BenchThroughputLatency,18,0,0,0,2,7,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/getThroughput,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/getRandomLedger,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/warmUp,34,0,0,0,2,6,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java/main,138,0,0,0,2,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntry,11,0,0,0,1,2,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/closeHandle,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntryBatch,14,0,0,0,1,2,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/MySqlClient,16,0,0,0,1,3,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/main,22,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/main,139,0,0,0,3,1,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/run,4,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/addComplete,6,0,0,0,1,4,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/BKClient,7,0,0,0,0,4,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/call,32,0,0,0,3,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/call,23,0,0,0,3,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/HDFSClient,6,0,0,0,0,3,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/call,23,0,0,0,3,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/FileClient,6,0,0,0,0,3,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/run,9,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/run,9,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/TestBenchmark,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/testThroughputLatency,4,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/testReadThroughputLatency,77,0,0,0,3,0,0,no
bookkeeper,release-4.2.0,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java/testBookie,4,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/SyncThread,5,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/resumeSync,6,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run,55,0,0,0,5,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown,7,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/suspendSync,5,0,0,0,1,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getEntry,3,0,0,0,0,0,0,no
